"rt","key_press","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_dots","number_of_sets","coherent_direction","coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames","trial_type","trial_index","time_elapsed","internal_node_id"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.65272727272729","[16.594999999999914,16.320000000000164,16.704999999999927,16.450000000000045,16.845000000000027,17.499999999999773,15.820000000000391,16.904999999999745,17.200000000000273,15.824999999999818,17.0150000000001]","11","RDK","0","233","0.0-0.0-0.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.209166666666665","[11.144999999999982,16.825000000000045,16.554999999999836,16.819999999999936,17.519999999999982,15.89500000000021,17.034999999999854,16.12000000000012,17.63000000000011,16.299999999999955,16.169999999999845,16.49500000000012]","12","RDK","1","436","0.0-0.0-1.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.659583333333348","[16.925000000000182,16.789999999999964,16.089999999999918,16.704999999999927,16.710000000000036,16.74500000000012,16.899999999999864,16.279999999999973,16.950000000000045,16.664999999999964,16.715000000000146,16.440000000000055]","12","RDK","2","650","0.0-0.0-2.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.6618181818182","[17.315000000000055,16.02000000000021,16.384999999999764,17.565000000000055,15.75,16.855000000000018,16.550000000000182,16.69499999999971,16.575000000000045,17.25,16.320000000000164]","11","RDK","3","866","0.0-0.0-3.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.304999999999968","[12.279999999999745,16.605000000000018,16.590000000000146,16.845000000000027,16.564999999999827,17.465000000000146,16.350000000000136,17.625,15.279999999999973,16.7049999999997,16.819999999999936,16.529999999999973]","12","RDK","4","1068","0.0-0.0-4.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.653333333333347","[16.52500000000009,16.47499999999991,16.740000000000236,16.759999999999764,16.715000000000146,16.659999999999854,16.629999999999654,16.605000000000473,17.7800000000002,16.164999999999964,16.234999999999673,16.550000000000182]","12","RDK","5","1284","0.0-0.0-5.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.645833333333332","[16.609999999999673,16.11999999999989,16.955000000000382,16.575000000000273,17.424999999999727,15.970000000000255,16.734999999999673,16.565000000000055,16.72499999999991,16.675000000000182,16.575000000000273,16.81999999999971]","12","RDK","6","1501","0.0-0.0-6.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.654166666666658","[16.454999999999472,16.69000000000051,16.534999999999854,16.824999999999818,16.91000000000031,17.190000000000055,16.424999999999727,16.250000000000455,16.5949999999998,16.66000000000031,16.594999999999345,16.720000000000255]","12","RDK","7","1718","0.0-0.0-7.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.676249999999982","[17.389999999999418,15.990000000000236,16.559999999999945,16.63000000000011,16.66500000000042,16.749999999999545,16.704999999999927,16.5300000000002,17.595000000000255,16.329999999999927,16.204999999999927,16.764999999999873]","12","RDK","8","1935","0.0-0.0-8.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.63499999999999","[16.434999999999945,16.365000000000236,16.659999999999854,17.470000000000255,16.06999999999971,16.61999999999989,16.610000000000127,16.66000000000031,16.69499999999971,16.590000000000146,16.98999999999978,16.454999999999927]","12","RDK","9","2151","0.0-0.0-9.0"
