"rt","key_press","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_dots","number_of_sets","coherent_direction","coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames","trial_type","trial_index","time_elapsed","internal_node_id"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.403749999999995","[31.30000000000001,15.92999999999995,16.940000000000055,15.934999999999945,17.004999999999995,16.655000000000086,17.014999999999986,16.449999999999932]","8","RDK","0","213","0.0-0.0-0.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.099166666666672","[9.759999999999991,16.340000000000032,17,15.544999999999959,17.035000000000082,17.449999999999932,15.909999999999968,17.915000000000077,16.855000000000018,15.954999999999927,16.38499999999999,17.040000000000077]","12","RDK","1","416","0.0-0.0-1.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.15636363636364","[16.295000000000073,16.67999999999995,16.460000000000036,15.819999999999936,17.680000000000064,16.324999999999932,37.57000000000005,12.809999999999945,16.860000000000014,15.714999999999918,17.50500000000011]","11","RDK","2","628","0.0-0.0-2.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.221818181818186","[16.13000000000011,17.595000000000027,16.08499999999981,17.49000000000001,16.460000000000036,16.62000000000012,34.50499999999988,15.039999999999964,17.210000000000036,16.210000000000036,17.095000000000027]","11","RDK","3","847","0.0-0.0-3.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.222272727272742","[16.220000000000027,17.735000000000127,16.189999999999827,16.910000000000082,16.674999999999955,16.2650000000001,34.92000000000007,15.5,16.7199999999998,16.64500000000021,16.664999999999964]","11","RDK","4","1063","0.0-0.0-4.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.767499999999984","[17.319999999999936,18.2349999999999,15.960000000000036,16.079999999999927,16.64500000000021,16.649999999999864,16.694999999999936,15.775000000000091,17.589999999999918,16.585000000000036,16.985000000000127,16.689999999999827]","12","RDK","5","1280","0.0-0.0-5.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.693750000000005","[16.964999999999918,16.934999999999945,15.735000000000127,17.414999999999964,20.84999999999991,19.86500000000001,9.225000000000136,16.74000000000001,16.579999999999927,16.664999999999964,16.325000000000045,17.02500000000009]","12","RDK","6","1494","0.0-0.0-6.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.079999999999988","[15.950000000000045,17.309999999999945,16.63499999999999,16.65000000000009,15.7349999999999,17.14500000000021,37.3599999999999,13.159999999999854,16.66000000000031,16.659999999999854,15.614999999999782]","11","RDK","7","1713","0.0-0.0-7.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.260000000000012","[17.195000000000164,16.605000000000018,16.99499999999989,16.63000000000011,16.7199999999998,16.644999999999982,34.26999999999998,15.735000000000127,16.840000000000146,16.634999999999764,16.590000000000146]","11","RDK","8","1929","0.0-0.0-8.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.170909090909102","[16.264999999999873,16.72499999999991,15.809999999999945,17.370000000000346,16.730000000000018,16.029999999999745,35.690000000000055,13.985000000000127,17.509999999999764,15.860000000000127,17.9050000000002]","11","RDK","9","2147","0.0-0.0-9.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.171363636363655","[16.43000000000029,15.99499999999989,16.5949999999998,17.590000000000146,16.570000000000164,16.234999999999673,36.01000000000022,14.440000000000055,16.644999999999982,16.71499999999969,16.66000000000031]","11","RDK","10","2361","0.0-0.0-10.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","14.974999999999993","[2.25,16.41000000000031,12.9399999999996,16.670000000000073,16.965000000000146,16.414999999999964,16.585000000000036,15.695000000000164,27.56999999999971,7.800000000000182,15.424999999999727]","11","RDK","11","2578","0.0-0.0-11.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","14.77666666666668","[2.600000000000364,9.459999999999582,15.870000000000346,15.7199999999998,17.50500000000011,15.949999999999818,17.519999999999982,16.68000000000029,16.579999999999927,15.730000000000018,17.73999999999978,15.965000000000146]","12","RDK","12","2781","0.0-0.0-12.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.660416666666645","[16.399999999999636,16.475000000000364,16.794999999999618,16.795000000000073,16.565000000000055,16.700000000000273,16.109999999999673,17.230000000000018,28.25500000000011,5.235000000000127,16.549999999999727,16.815000000000055]","12","RDK","13","2996","0.0-0.0-13.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.659166666666692","[15.519999999999982,17.4350000000004,16.980000000000018,16.47499999999991,16.585000000000036,16.769999999999982,31.34999999999991,1.949999999999818,16.110000000000127,17.11499999999978,16.960000000000036,16.66000000000031]","12","RDK","14","3213","0.0-0.0-14.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.122727272727264","[16.46499999999969,16.745000000000346,16.684999999999945,15.710000000000036,17.429999999999836,16.875,34.00500000000011,16.049999999999727,16.700000000000273,16.634999999999764,16.050000000000182]","11","RDK","15","3429","0.0-0.0-15.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.154090909090925","[16.24499999999989,16.53500000000031,16.634999999999764,16.585000000000036,16.664999999999964,16.684999999999945,35.17000000000007,15.019999999999982,16.51000000000022,16.789999999999964,16.855000000000018]","11","RDK","16","3647","0.0-0.0-16.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.660000000000043","[16.46000000000049,18.514999999999418,22.38500000000022,9.220000000000255,16.67999999999938,16.600000000000364,16.715000000000146,16.664999999999964,25.88000000000011,7.085000000000036,17.045000000000073,16.670000000000073]","12","RDK","17","3862","0.0-0.0-17.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.106363636363643","[16.595000000000255,16.74499999999989,16.599999999999454,15.735000000000582,36.79500000000007,14.234999999999673,16.654999999999745,16.625,16.580000000000837,16.729999999999563,15.875]","11","RDK","18","4076","0.0-0.0-18.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.19590909090907","[16.69499999999971,16.639999999999418,16.69000000000051,16.604999999999563,16.6200000000008,15.829999999999927,35.779999999999745,15.279999999999745,15.829999999999927,17.43000000000029,16.75500000000011]","11","RDK","19","4297","0.0-0.0-19.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.194545454545484","[16.449999999999818,16.095000000000255,17.204999999999927,16.265000000000327,16.984999999999673,16.710000000000036,34.07499999999982,15.1200000000008,17.36999999999989,17.034999999999854,16.829999999999927]","11","RDK","20","4514","0.0-0.0-20.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.130000000000027","[15.840000000000146,17.215000000000146,16.774999999999636,15.779999999999745,17.345000000000255,16.949999999999818,35.07499999999982,15.040000000000873,16.654999999999745,16.050000000000182,16.704999999999927]","11","RDK","21","4730","0.0-0.0-21.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.170454545454547","[15.574999999999818,18.350000000000364,15.679999999999382,16.590000000000146,16.675000000000182,16.68000000000029,33.835000000000036,16.669999999999163,15.345000000000255,17.600000000000364,16.875]","11","RDK","22","4947","0.0-0.0-22.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.65208333333332","[16.36999999999989,15.980000000000473,22.784999999999854,18.770000000000437,9.18499999999949,16.414999999999964,16.925000000000182,16.649999999999636,16.675000000000182,16.26000000000022,17.24499999999989,16.5649999999996]","12","RDK","23","5163","0.0-0.0-23.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.10181818181817","[16.609999999999673,16.675000000000182,16.6899999999996,15.735000000000582,17.299999999999272,36.335000000000036,13.900000000000546,16.69499999999971,16.720000000000255,16.625,15.835000000000036]","11","RDK","24","5381","0.0-0.0-24.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.190000000000012","[16.835000000000036,16.585000000000036,16.595000000000255,16.68499999999949,16.69500000000062,16.664999999999964,35.719999999999345,14.275000000000546,16.699999999999818,16.68000000000029,16.654999999999745]","11","RDK","25","5596","0.0-0.0-25.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.220909090909117","[16.600000000000364,16.085000000000036,17.420000000000073,16.5,16.69499999999971,16.68000000000029,34.00999999999931,16.07000000000062,16.18499999999949,17.19000000000051,16.99499999999989]","11","RDK","26","5814","0.0-0.0-26.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","15.305416666666664","[2.619999999999891,16.199999999999818,15.835000000000036,15.640000000000327,17.170000000000073,17.164999999999964,17.474999999999454,17.230000000000473,15.469999999999345,16.3100000000004,16.81999999999971,15.730000000000473]","12","RDK","27","6031","0.0-0.0-27.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.641250000000053","[16.395000000000437,16.640000000000327,16.6899999999996,16.61499999999978,16.110000000000582,17.229999999999563,15.885000000000218,26.80999999999949,7.020000000000437,15.984999999999673,17.645000000000437,16.670000000000073]","12","RDK","28","6246","0.0-0.0-28.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.193636363636372","[16.529999999999745,15.970000000000255,17.454999999999927,35.49499999999989,14.590000000000146,16.61499999999978,16.670000000000073,16.659999999999854,16.545000000000073,17.175000000000182,16.425000000000182]","11","RDK","29","6464","0.0-0.0-29.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.09272727272723","[16.579999999999927,16.649999999999636,16.715000000000146,15.715000000000146,17.229999999999563,17.13000000000011,37.039999999999964,12.925000000000182,16.579999999999927,16.730000000000473,15.724999999999454]","11","RDK","30","6681","0.0-0.0-30.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.211363636363618","[16.94000000000051,16.56999999999971,15.904999999999745,17.50500000000011,16.664999999999964,16.670000000000073,34.56999999999971,15.570000000000618,16.715000000000146,16.545000000000073,16.669999999999163]","11","RDK","31","6898","0.0-0.0-31.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.373999999999977","[17.25500000000011,15.75,17.390000000000327,16.56999999999971,16.765000000000327,16.674999999999272,35.80000000000018,14.145000000000437,16.11499999999978,17.274999999999636]","10","RDK","32","7110","0.0-0.0-32.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.573750000000018","[15.275000000000546,16.69499999999971,16.659999999999854,16.595000000000255,16.724999999999454,16.225000000000364,16.274999999999636,18.525000000000546,15.554999999999382,16.860000000000582,16.824999999999818,16.670000000000073]","12","RDK","33","7315","0.0-0.0-33.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.661249999999956","[17.125,17.045000000000073,16.625,19.894999999999527,21.045000000000073,9.06500000000051,15.719999999999345,16.735000000000582,17.42999999999938,15.88000000000011,16.625,16.74499999999989]","12","RDK","34","7527","0.0-0.0-34.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.25454545454539","[16.8149999999996,16.335000000000036,16.890000000000327,16.545000000000073,16.539999999999964,16.674999999999272,34.335000000000036,15.850000000000364,17.085000000000036,16.579999999999927,17.149999999999636]","11","RDK","35","7747","0.0-0.0-35.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.7341666666667","[17.609999999999673,16.735000000000582,16.584999999999127,15.854999999999563,16.910000000001673,17.19499999999971,16.44999999999891,21.110000000000582,19.985000000000582,9.1299999999992,15.600000000000364,17.645000000000437]","12","RDK","36","7962","0.0-0.0-36.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.201818181818286","[16.25500000000102,16.340000000000146,17.454999999999927,16.670000000000073,16.549999999999272,16.829999999999927,34.17500000000109,15.834999999999127,16.729999999999563,16.784999999999854,16.595000000001164]","11","RDK","37","8181","0.0-0.0-37.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.186818181818044","[16.664999999999054,16.649999999999636,15.774999999999636,17.31500000000051,16.034999999999854,16.88000000000102,36.55999999999949,13.9950000000008,16.704999999999927,15.924999999999272,17.549999999999272]","11","RDK","38","8395","0.0-0.0-38.0"
