"rt","key_press","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_dots","number_of_sets","coherent_direction","coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames","trial_type","trial_index","time_elapsed","internal_node_id"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","20.933333333333334","[9.900000000000006,10.199999999999989,68,14.199999999999989,16.5,15.800000000000011,17.30000000000001,16.80000000000001,19.69999999999999]","9","RDK","0","230","0.0-0.0-0.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.10000000000001","[16.400000000000034,16.30000000000001,44.69999999999999,5,15.900000000000034,17.499999999999943,16.399999999999977,17,16.600000000000136,16.59999999999991,16.700000000000045]","11","RDK","1","435","0.0-0.0-1.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.575","[16.299999999999955,15.800000000000068,17.299999999999955,15.599999999999909,17.700000000000045,30.600000000000023,2.1000000000001364,17.499999999999886,16.699999999999932,16.500000000000114,16.59999999999991,16.200000000000045]","12","RDK","2","651","0.0-0.0-2.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","17.84545454545455","[44.700000000000045,5.100000000000023,13.199999999999932,16.699999999999932,16.600000000000136,16.699999999999932,16.40000000000009,17,16.499999999999886,16.90000000000009,16.5]","11","RDK","3","869","0.0-0.0-3.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.136363636363637","[15.999999999999773,17.000000000000227,15.5,48.899999999999864,3.400000000000091,15.200000000000045,16.59999999999991,16,17.700000000000045,15.5,17.700000000000045]","11","RDK","4","1083","0.0-0.0-4.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.369999999999983","[16.59999999999991,17.09999999999991,15.700000000000045,17.700000000000045,16.59999999999991,45.00000000000023,12.599999999999909,9.299999999999727,16.40000000000032,16.699999999999818]","10","RDK","5","1299","0.0-0.0-5.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.42500000000001","[14,16.800000000000182,16.59999999999991,26.5,6.900000000000091,16.09999999999968,17.200000000000273,16.799999999999955,16.600000000000136,16.59999999999991,16.699999999999818,16.300000000000182]","12","RDK","6","1504","0.0-0.0-6.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","20.31111111111113","[17.200000000000273,15.899999999999864,17.500000000000227,16.09999999999991,17.199999999999818,54.40000000000009,12.200000000000045,16.799999999999955,15.5]","9","RDK","7","1715","0.0-0.0-7.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","21.9777777777778","[13.900000000000091,17.199999999999818,72.5,10.800000000000182,15.799999999999955,17.700000000000045,16.59999999999991,16.59999999999991,16.700000000000273]","9","RDK","8","1920","0.0-0.0-8.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.35","[16.699999999999818,15.800000000000182,17.59999999999991,15.900000000000091,17.59999999999991,40.09999999999991,9.100000000000364,17.399999999999636,16.700000000000273,16.59999999999991]","10","RDK","9","2133","0.0-0.0-9.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","17.945454545454552","[13.900000000000091,16.899999999999636,16.5,47.70000000000027,1.2999999999997272,17.199999999999818,17.300000000000182,16.500000000000455,16.699999999999363,16.700000000000273,16.700000000000273]","11","RDK","10","2336","0.0-0.0-10.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.663636363636382","[16.5,16.09999999999991,17.300000000000182,16.59999999999991,15.699999999999818,17.59999999999991,31.300000000000637,1.0999999999994543,16.700000000000273,17.399999999999636,17.000000000000455]","11","RDK","11","2550","0.0-0.0-11.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","19.7","[13.799999999999727,16.600000000000364,60.59999999999991,5.099999999999909,17.59999999999991,16.699999999999818,16.700000000000273,16.700000000000273,16.699999999999363,16.500000000000455]","10","RDK","12","2752","0.0-0.0-12.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.30999999999999","[16.699999999999818,16.5,16.699999999999818,16.600000000000364,16.799999999999727,48,3.699999999999818,14.600000000000364,16.299999999999727,17.200000000000273]","10","RDK","13","2966","0.0-0.0-13.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","21.4","[12.599999999999909,19.09999999999991,47.100000000000364,17.09999999999991,17.40000000000009,15.900000000000091,17.5,16.700000000000273,16,34.599999999999454]","10","RDK","14","3185","0.0-0.0-14.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.018181818181844","[15.099999999999909,16.800000000000182,16.600000000000364,15.799999999999727,17.899999999999636,40.40000000000009,8.600000000000364,17.299999999999727,16.800000000000182,15.599999999999909,17.300000000000182]","11","RDK","15","3404","0.0-0.0-15.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.35","[16.699999999999363,43.400000000000546,6.299999999999727,17.000000000000455,16.799999999999727,16.699999999999818,15.900000000000091,17.300000000000182,16.899999999999636,16.500000000000455]","10","RDK","16","3616","0.0-0.0-16.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","17.990909090909142","[14.400000000000546,16.699999999999363,15.800000000000182,16.59999999999991,17.600000000000364,32.59999999999991,17.59999999999991,16.5,16.800000000000182,16.699999999999818,16.600000000000364]","11","RDK","17","3821","0.0-0.0-17.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","15.639999999999919","[5.9999999999990905,17.000000000000455,16.5,15.900000000000091,17.700000000000273,16.699999999999818,16.699999999999818,16.50000000000091,16.799999999999272,16.599999999999454]","10","RDK","18","4033","0.0-0.0-18.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","17.972727272727255","[14.300000000000182,16.599999999999454,16.700000000000728,38.099999999999454,11,17.600000000000364,16.699999999999818,16.600000000000364,16.599999999999454,15.900000000000546,17.599999999999454]","11","RDK","19","4238","0.0-0.0-19.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.658333333333378","[15.400000000000546,16.700000000000728,17.299999999999272,16.300000000000182,17.5,16.100000000000364,26.49999999999909,6.800000000000182,16.800000000000182,17.100000000000364,16.699999999999818,16.699999999999818]","12","RDK","20","4450","0.0-0.0-20.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","17.954545454545453","[15.100000000000364,39.49999999999909,9.600000000000364,17.400000000000546,16.600000000000364,16.799999999999272,16.599999999999454,16.700000000000728,16.699999999999818,15.699999999999818,16.800000000000182]","11","RDK","21","4668","0.0-0.0-21.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.64166666666665","[16.100000000000364,16.299999999999272,16.200000000000728,30.199999999999818,3.0999999999994543,24.100000000000364,9.800000000000182,17,16.599999999999454,16.80000000000109,16.899999999999636,16.599999999999454]","12","RDK","22","4884","0.0-0.0-22.0"
